,Number,Name_of_Covered_Entity,latitude,longitude,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year
173,172,NewYork-Presbyterian Hospital and Columbia University Medical Center,43.299428,-74.217933,NY,,6800,7/1/2010,Theft,Network Server,2014-06-19,"Data breach results in $4.8 million HIPAA settlements

Two health care organizations have agreed to settle charges that they potentially violated the Health Insurance Portability and Accountability Act of 1996 (HIPAA) Privacy and Security Rules by failing to secure thousands of patients' electronic protected health information (ePHI) held on their network. The monetary payments of $4,800,000 include the largest HIPAA settlement to date.

The U.S. Department of Health and Human Services (HHS) Office for Civil Rights (OCR) initiated its investigation of New York and Presbyterian Hospital (NYP) and Columbia University (CU) following their submission of a joint breach report, dated September 27, 2010, regarding the disclosure of the ePHI of 6,800 individuals, including patient status, vital signs, medications, and laboratory results. 

NYP and CU are separate covered entities that participate in a joint arrangement in which CU faculty members serve as attending physicians at NYP. The entities generally refer to their affiliation as 'New York Presbyterian Hospital/Columbia University Medical Center.'  NYP and CU operate a shared data network and a shared network firewall that is administered by employees of both entities. The shared network links to NYP patient information systems containing ePHI.

The investigation revealed that the breach was caused when a physician employed by CU who developed applications for both NYP and CU attempted to deactivate a personally-owned computer server on the network containing NYP patient ePHI. Because of a lack of technical safeguards, deactivation of the server resulted in ePHI being accessible on internet search engines. The entities learned of the breach after receiving a complaint by an individual who found the ePHI of the individual's deceased partner, a former patient of NYP, on the internet.

In addition to the impermissible disclosure of ePHI on the internet, OCR's investigation found that neither NYP nor CU made efforts prior to the breach to assure that the server was secure and that it contained appropriate software protections. Moreover, OCR determined that neither entity had conducted an accurate and thorough risk analysis that identified all systems that access NYP ePHI. As a result, neither entity had developed an adequate risk management plan that addressed the potential threats and hazards to the security of ePHI. Lastly, NYP failed to implement appropriate policies and procedures for authorizing access to its databases and failed to comply with its own policies on information access management.

'When entities participate in joint compliance arrangements, they share the burden of addressing the risks to protected health information,'  said Christina Heide, Acting Deputy Director of Health Information Privacy for OCR. 'Our cases against NYP and CU should remind health care organizations of the need to make data security central to how they manage their information systems.' 

NYP has paid OCR a monetary settlement of $3,300,000 and CU $1,500,000, with both entities agreeing to a substantive corrective action plan, which includes undertaking a risk analysis, developing a risk management plan, revising policies and procedures, training staff, and providing progress reports.

",2010-07-01,NA,2010
174,173,St. James Hospital and Health Centers,40.633125,-89.398528,IL,,967,8/10/2010,Improper Disposal,Paper,2014-01-23,,2010-08-10,NA,2010
175,174,"University of Oklahoma - Tulsa, Neurology Clinic",35.007752,-97.092877,OK,,19200,7/28/2010,Hacking/IT Incident,Desktop Computer,2014-01-23,,2010-07-28,NA,2010
176,175,"LORENZO BROWN, MD INC.",36.778261,-119.417932,CA,,928,8/17/2010,Theft,Desktop Computer,2014-01-23,,2010-08-17,NA,2010
177,176,"Milton Pathology Associates, P.C.",42.407211,-71.382437,MA,Joseph A. Gagnon d/b/a Goldthwait Associates,11000,7/26/2010,Improper Disposal,Paper,2014-01-23,,2010-07-26,NA,2010
178,177,WESTMED Medical Group,43.299428,-74.217933,NY,,578,8/17/2010,Theft,Laptop,2014-06-19,"An unencrypted laptop computer that contained the electronic protected health information (ePHI) of 578 individuals was stolen from the covered entity (CE), WestMed Medical Group.  The ePHI included names, dates of birth and test results.  Upon discovery of the breach, the CE filed a police report and provided breach notification to affected individuals, HHS and the media.  As a result of OCR's investigation, the CE improved physical security by locking all laptops during the day and storing all laptops in a locked cabinet overnight.  In addition, the CE reconfigured all laptops with strong passwords and implemented a new procedure to save data to a secure file server.  Further, the CE encrypted all laptop hard drives.  The CE also retrained staff on safeguarding ePHI.



",2010-08-17,NA,2010
179,178,"Debra C. Duffy, DDS",31.968599,-99.901813,TX,,4700,8/5/2010,Theft,"Laptop, Network Server",2014-01-23,"An unencrypted laptop and network server were stolen during a burglary of the office.The breach affected approximately 4700 individuals.The protected health information involved in the breach included treatment information for pediatric dental patients and social security numbers, insurance identification numbers and driver's license numbers. Following the discovery of the breach, the CE relocated the practice servers, secured the laptops and installed steel doors at the front entrance of the facility. Additionally, the CE notified the affected individuals and local media and retrained staff.  

",2010-08-05,NA,2010
180,179,"Cumberland Gastroenterology, P.S.C.",37.839333,-84.270018,KY,,2200,9/18/2010,Theft,Paper,2014-01-23,,2010-09-18,NA,2010
181,180,Johns Hopkins University Applied Physics Laboratory (JHU/APL) Medical and Dental Insurance Plan,39.045755,-76.641271,MD,,692,6/15/2010,Other,Other,2014-01-23,"Protected health information was attached to an email addressed to 85 employees by a benefits staff member. Within 5 days, all recipients were notified, and the email was deleted.  Approximately 692 individuals were affected by this breach.  The email included names, dates of birth, social security numbers, and marital and disability status.  To prevent a similar breach from happening in the future, the covered entity instituted a policy to encrypt emails containing protected health information before it is sent out from the benefits department.  Following OCR's investigation, the covered entity updated its policies and procedures establishing a new business process to require that all emails sent by the benefits office to 5 or more staff members that includes an attachment be reviewed by another team member to ensure the proper document is attached and took personnel action with the responsible employee. Further, the benefits office will use an encryption specialist to train all benefits office staff in the proper methods of encryption, explore future capability of automated flagging of any electronic communications sent by benefits office staff containing potentially sensitive data such as 9-digit numbers, and obtain additional HIPAA training.

",2010-06-15,NA,2010
182,181,LoneStar Audiology Group,31.968599,-99.901813,TX,,585,8/11/2010,Theft,Laptop,2014-01-23,"A laptop was stolen from a workforce member's home. Approximately 585 individuals were affected.  The PHI included addresses, dates of birth, diagnosis and conditions, medications and other treatment information. Following the breach, the covered entity encrypted all its laptops. After the initiation of OCR's investigation, the encryption of the laptops was completed.

",2010-08-11,NA,2010
183,182,Utah Department of Health,39.32098,-111.093731,UT,Utah Department of Workforce Services,1298,3/1/2010,Other,"Desktop Computer, Paper",2014-01-23,,2010-03-01,NA,2010
184,183,SW Seattle Orthopaedic and Sports Medicine,47.751074,-120.740139,WA,,9493,9/4/2010,Hacking/IT Incident,Network Server,2014-01-23,"A database web server, containing the electronic protected health information (EPHI) of 9,493 individuals, was breached by an unknown, external person(s) for use as a game server.  Although there was no indication of access to EPHI, the EPHI on the database web server included names, dates of birth, types of x-rays, and dates of x-rays.  Following the breach, the covered entity relocated two servers to its more secure primary data center and removed the Internet access line that resulted in the breach.  Additionally, OCR's investigation resulted in the covered entity improving their administrative safeguards, such as incident response and reporting.  

",2010-09-04,NA,2010
185,184,University of Arkansas for Medical Sciences,35.20105,-91.831833,AR,,1000,10/12/2010,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2010-10-12,NA,2010
187,186,Northridge Hospital Medical Center,36.778261,-119.417932,CA,,716,10/16/2010,Loss,Paper,2014-01-23,,2010-10-16,NA,2010
189,188,"Aetna, Inc.",41.603221,-73.087749,CT,,2345,9/9/2010,Unauthorized Access/Disclosure,Network Server,2014-01-23,"Aetna notified all possibly affected individuals of the breach, filed a breach report with OCR, commenced an investigation to identify and correct the root cause of the issue; the coding changes that were causing the breach were removed from IPS via Aetna's emergency Change Management procedures to prevent any further exposure while the problem was analyzed; once the specific code that conflicted with its proxy server settings was identified as the root cause of the breach, it was removed. Also, in an effort to mitigate any harm as a result of the breach, Aetna offered all affected individuals one year of free credit monitoring, and the notification letters included a toll-free number which was established specifically to answer questions related to this incident. 

",2010-09-09,NA,2010
190,189,Sta-home Health & Hospice,32.354668,-89.398528,MS,,1104,9/16/2010,Theft,Desktop Computer,2014-01-23,,2010-09-16,NA,2010
191,190,Puerto Rico Department of Health,18.220833,-66.590149,PR,Medical Card System/MCS-HMO/MCS Advantage/MCS Life,115000,9/3/2010,Unauthorized Access/Disclosure,"Other Portable Electronic Device, Other",2014-01-23,,2010-09-03,NA,2010
